"While Heidi had said My heroes are Slipknot, Wendy O. Williams, Gwen Stefani, and Joan Jett.",1
"In early 2012, Briggs supported Alabama rapper Yelawolf on his Australian tour.",0
"He has also worked as a session musician and writing collaborator for artists including Pet Shop Boys, Bryan Ferry, Billy Bragg, Kirsty MacColl, Black Grape, Jane Birkin, Talking Heads, and Beck.",0
"The New York Times concert review mentioned the Breeders, Stereolab, disco rhythm, krautrock, Sonic Youth",1
"Musical style and influences Inspired from early heavy metal instrumentation, Rage Against the Machine has been influenced by a variety of music, including acts like Led Zeppelin, Bob Dylan, U2, the Red Hot Chili Peppers, Iron Maiden, Kiss, Ozzy Osbourne, The Police, Devo, Living Colour, The Brothers Johnson and Wayne Shorter.",1
"Later in 2012 he released the collaboration Giusto un giro with Emis Killa and announced the inauguration of his own record label, La Roccia Music.",0
"Wagner composed Parsifal one act at a time, completing the Gesamtentwurf and Orchesterskizze of each act before beginning the Gesamtentwurf of the next act; but because the Orchesterskizze already embodied all the compositional details of the full score, the actual drafting of the Partiturerstschrift was regarded by Wagner as little more than a routine task which could be done whenever he found the time.",0
"Their influences include '70s metal and rock bands, including Black Sabbath, The Velvet Underground, Pink Fairies and Thin Lizzy, as well as progressive rock and jazz fusion bands like King Crimson and Mahavishnu Orchestra.",1
Longtime King Crimson member Robert Fripp has downplayed any influence his band had on Tool.,0
McCartney said he wrote I'm Down as a vehicle for his Little Richard impersonation.,0
"Author Maureen Mahon states: In the 1980s, Whitney Houston, Michael Jackson, Janet Jackson, and Prince were among the African American artists who crossed over ...",0
"Although Parker's central focus is free improvisation, he has also appeared in conventional jazz contexts, such as Charlie Watts's big band and Kenny Wheeler's ensembles, and participated in Gavin Bryars's recording After the Requiem, performing the composition Alaric I or II as part of a saxophone quartet.",0
"Specific artists whom OneRepublic have cited as influences include Wolfgang Amadeus Mozart, the Beatles, U2, M83, and Prince.",1
Usher did not disclose of the reasons behind his participation: media speculations assumed it was related to art and feminism amid the release of single I Don't Mind featuring Juicy J which discusses the work of an exotic dancer thus making a reference to the new wave of feminism.,0
"In numerous interviews, the group has cited many of these groups that had a direct or peripheral influence on their sound, including Freestyle Fellowship, The Pharcyde, Jurassic 5, The Beatnuts, and many others. ",1
"The band embarked on its first U.S. tour early the following year, sharing the stage with the Vivian Girls.",0
"U-God, however, recruited his lyric mentor and childhood friend Cappadonna to take his place later in the album. ",0
"Gammage's singing style on these albums is often compared to American male vocalists such as Johnny Cash, Roy Orbison, Elvis Presley, and Scott Walker (singer).Rock NYC Live and Recorded wrote about Adventures in Bluesland",0
"Fish was influenced by a wide range of artists and his favourite albums were by artists such as Van der Graaf Generator, Joni Mitchell, the Who, Pink Floyd, John Martyn,",1
"Though the band are often compared to Black Sabbath, Buzzo has stated that his guitar playing is more influenced by Black Flag.",1
No. 23.Kember was a keen record collector from the age of 11 or 12; some of the first records he purchased included albums by The Velvet Underground.,1
"A new Guns N' Roses album had reportedly been in the works since 1994, with Rose the only original member still in the band.",0
"Later that year, Queen released a duet recorded with Jackson and Freddie Mercury in the 1980s.",0
"They frequently cite AC/DC as an influence on their formula of maintaining a specific style, with Casey once saying I think our goal is to be the AC/DC of Celtic punk rock.",1
"The band has also been influenced by punk bands such as D.R.I., Suicidal Tendencies, Bad Brains, the Ramones, the Sex Pistols, the Dead Kennedys, Black Flag, Agnostic Front, the Misfits, the Exploited and Discharge, and  heavy metal bands like Black Sabbath,  Judas Priest, Accept, Anvil, Iron Maiden, Motörhead, UFO and Saxon.",1
"Dead Homie (Dead Vulture EP), The R.O.C. (The Fucking Prey Lewd EP) and Lex The Hex Master (Mr. Ugly mixtape).",0
"After one year in Mexico, Smither returned to New Orleans where he attended Tulane for one year and discovered Mississippi John Hurt's music through the Blues at Newport 1963 album on Vanguard Records.",1
"Droog has appreciated the comparison and deemed it a compliment; he also named Big Daddy Kane, Big L, and Kool G Rap as influences, as well as Beanie Sigel, Freeway, Cassidy, and Lloyd Banks.  ",1
"On June 25, 2019, The New York Times Magazine listed Red Allen among hundreds of artists whose material was reportedly destroyed in the 2008 Universal fire.",0
"He credited jazz pioneer Buddy Bolden as an early influence, and in turn was a major influence on numerous younger cornet/trumpet players in New Orleans and Chicago, including Tommy Ladnier, Paul Mares, Muggsy Spanier, Johnny Wiggs, Frank Guarente and, the most famous of all, Armstrong.",1
"The band appeared with 2Cents, Five Finger Death Punch and Shadows Fall on the 'Shock & Raw Tour' of North America in the fall of 2009.On September 30, 2010, bassist Jay McGuire left the band.",0
"After observing Weinzweig's work, composer and school director Howard Hanson encouraged him to pursue Master's studies in composition at the Eastman School of Music (University of Rochester).",0
Singer Christopher Hall's vocals have been compared to the vocals of Nine Inch Nails singer Trent Reznor.,0
"311's influences include The Clash, The Cure, Descendents, Red Hot Chili Peppers, Cypress Hill, De La Soul, A Tribe Called Quest, Led Zeppelin, Bob Marley, Fishbone, and Bad Brains.",1
"While in Venice he became close friends with Costanzo Porta, a friendship which was to endure for his entire life.",0
"In an interview, they stated We are big fans of Wendy O. Williams.",1
Armstrong referred to the Dickies as just another Ramones rip-off.,1
"Members of Testament have cited major influences as The Beatles, Black Sabbath, Metallica, Exodus, Slayer, Anthrax, Megadeth, Judas Priest, Motörhead, Deep Purple, Rush, Diamond Head, Saxon, Alice Cooper, Tygers of Pan Tang, Iron Maiden, Accept, Rainbow, Dio, Led Zeppelin, AC/DC, UFO, Van Halen, Queensrÿche, Scorpions, Jimi Hendrix, Robin Trower, Armored Saint, Manowar, Mercyful Fate, Venom, Celtic Frost, Aerosmith, Pat Travers, Blue Öyster Cult, Kiss, Black Flag, The Ramones, The Sex Pistols, The Misfits, Savatage, Loudness, Raven and Anvil. ",1
